2026-02-25 03:33:39.193813 12 {'chunk_seconds': 11, 'num_freqs': 10, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.7223059914645675, 'overlap': 0.31303789701666973, 'max_lag': 10} 0.7109022071734258
2026-02-25 14:20:35.955418 16 {'chunk_seconds': 17, 'num_freqs': 13, 'num_estimators': 256, 'max_depth': 256, 'max_features': 0.6382176901641374, 'overlap': 0.35953015341008177, 'max_lag': 9} 0.7112051267217802
2026-02-25 14:57:15.320633 18 {'chunk_seconds': 20, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 128, 'max_features': 0.4764973527910824, 'overlap': 0.34684135077184697, 'max_lag': 9} 0.715215207365997
2026-02-25 15:19:52.280895 20 {'chunk_seconds': 18, 'num_freqs': 4, 'num_estimators': 128, 'max_depth': 128, 'max_features': 0.47842281286387756, 'overlap': 0.3050406653495544, 'max_lag': 8} 0.7177773020012684
2026-02-25 15:48:33.605291 24 {'chunk_seconds': 19, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 64, 'max_features': 0.31814635886000375, 'overlap': 0.30181230445213825, 'max_lag': 7} 0.7173008266687828
2026-02-25 16:05:25.955819 27 {'chunk_seconds': 18, 'num_freqs': 4, 'num_estimators': 256, 'max_depth': 64, 'max_features': 0.42606026831811195, 'overlap': 0.39248874972804937, 'max_lag': 5} 0.7096131870578732
2026-02-25 16:36:26.845002 31 {'chunk_seconds': 20, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 128, 'max_features': 0.3440834882252308, 'overlap': 0.3410761700971928, 'max_lag': 9} 0.7198196593888753
2026-02-25 16:54:26.574947 33 {'chunk_seconds': 19, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 128, 'max_features': 0.3046525197802915, 'overlap': 0.3840315880133597, 'max_lag': 8} 0.7196924736567907
2026-02-25 17:05:42.819972 34 {'chunk_seconds': 19, 'num_freqs': 3, 'num_estimators': 32, 'max_depth': 128, 'max_features': 0.3238009773491474, 'overlap': 0.3832336843570556, 'max_lag': 9} 0.712799946012704
2026-02-25 17:25:22.134308 37 {'chunk_seconds': 16, 'num_freqs': 7, 'num_estimators': 32, 'max_depth': 16, 'max_features': 0.35966997935497086, 'overlap': 0.7577098987817268, 'max_lag': 6} 0.7333185127563753
2026-02-25 17:40:36.999723 38 {'chunk_seconds': 14, 'num_freqs': 4, 'num_estimators': 32, 'max_depth': 16, 'max_features': 0.43490213074019013, 'overlap': 0.7758070991597366, 'max_lag': 6} 0.7335360757213281
2026-02-25 17:57:54.572310 39 {'chunk_seconds': 14, 'num_freqs': 7, 'num_estimators': 32, 'max_depth': 16, 'max_features': 0.43950651008751274, 'overlap': 0.7804981273786132, 'max_lag': 4} 0.728253799147928
2026-02-25 18:15:11.327468 40 {'chunk_seconds': 14, 'num_freqs': 7, 'num_estimators': 32, 'max_depth': 16, 'max_features': 0.43264080519799264, 'overlap': 0.7984082599235286, 'max_lag': 4} 0.7292770380161895
2026-02-25 18:33:39.284318 41 {'chunk_seconds': 13, 'num_freqs': 7, 'num_estimators': 32, 'max_depth': 16, 'max_features': 0.43350600852135135, 'overlap': 0.7914006744050518, 'max_lag': 4} 0.7247084000932198
2026-02-25 18:52:19.939722 42 {'chunk_seconds': 13, 'num_freqs': 7, 'num_estimators': 32, 'max_depth': 16, 'max_features': 0.4256963449048439, 'overlap': 0.7985083142669744, 'max_lag': 4} 0.7221874330073343
