,resistance,voltage,current,time,pre_rect,post_rect,labels
21471,6,250,DC,214.71,0.462646484375,7.87353515625,L
21472,6,250,DC,214.72,0.474853515625,7.872314453125,L
21473,6,250,DC,214.73000000000002,0.4736328125,7.87109375,L
21474,6,250,DC,214.74,0.45654296875,7.87109375,L
21475,6,250,DC,214.75,0.4345703125,7.872314453125,L
21476,6,250,DC,214.76,0.411376953125,7.87109375,L
21477,6,250,DC,214.77,0.399169921875,7.87109375,L
21478,6,250,DC,214.78,0.406494140625,7.869873046875,L
21479,6,250,DC,214.79,0.4248046875,7.872314453125,L
21480,6,250,DC,214.8,0.44921875,7.872314453125,L
21481,6,250,DC,214.81,0.46875,7.87109375,L
21482,6,250,DC,214.82,0.4736328125,7.87109375,L
21483,6,250,DC,214.83,0.467529296875,7.87109375,L
21484,6,250,DC,214.84,0.44677734375,7.87109375,L
21485,6,250,DC,214.85,0.419921875,7.87109375,L
21486,6,250,DC,214.86,0.401611328125,7.869873046875,L
21487,6,250,DC,214.87,0.399169921875,7.869873046875,L
21488,6,250,DC,214.88,0.41259765625,7.869873046875,L
21489,6,250,DC,214.89000000000001,0.4345703125,7.87109375,L
21490,6,250,DC,214.9,0.457763671875,7.87109375,L
21491,6,250,DC,214.91,0.4736328125,7.87109375,L
21492,6,250,DC,214.92000000000002,0.47607421875,7.872314453125,L
21493,6,250,DC,214.93,0.462646484375,7.872314453125,L
21494,6,250,DC,214.94,0.439453125,7.87109375,L
21495,6,250,DC,214.95000000000002,0.416259765625,7.87109375,L
21496,6,250,DC,214.96,0.400390625,7.87109375,L
21497,6,250,DC,214.97,0.4052734375,7.87109375,L
21498,6,250,DC,214.98000000000002,0.423583984375,7.87353515625,L
21499,6,250,DC,214.99,0.45166015625,7.874755859375,L
21500,6,250,DC,215.0,0.47607421875,7.877197265625,L
21501,6,250,DC,215.01,0.489501953125,7.879638671875,L
21502,6,250,DC,215.02,0.4833984375,7.879638671875,L
21503,6,250,DC,215.03,0.4638671875,7.882080078125,L
21504,6,250,DC,215.04,0.438232421875,7.882080078125,L
