2025-11-14 04:40:58.992185 34 {'augment_factor': 1, 'chunk_seconds': 3, 'num_freqs': 9, 'num_estimators': 8, 'max_depth': 16, 'window_seconds': 7, 'num_subwindows': 3, 'subwindow_freq': 17, 'use_window_slope': False, 'use_subwindow_slope': True} 0.43325118060685397
2025-11-14 04:43:16.843419 35 {'augment_factor': 2, 'chunk_seconds': 4, 'num_freqs': 4, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 6, 'num_subwindows': 9, 'subwindow_freq': 20, 'use_window_slope': False, 'use_subwindow_slope': True} 0.4253953424545223
2025-11-14 04:47:50.953762 36 {'augment_factor': 8, 'chunk_seconds': 5, 'num_freqs': 5, 'num_estimators': 128, 'max_depth': 8, 'window_seconds': 4, 'num_subwindows': 6, 'subwindow_freq': 13, 'use_window_slope': False, 'use_subwindow_slope': True} 0.4264141223237116
2025-11-14 04:50:14.351775 37 {'augment_factor': 1, 'chunk_seconds': 7, 'num_freqs': 7, 'num_estimators': 256, 'max_depth': 4, 'window_seconds': 8, 'num_subwindows': 1, 'subwindow_freq': 18, 'use_window_slope': False, 'use_subwindow_slope': True} 0.36520133835921054
2025-11-14 04:51:03.456708 38 {'augment_factor': 8, 'chunk_seconds': 3, 'num_freqs': 2, 'num_estimators': 8, 'max_depth': 128, 'window_seconds': 7, 'num_subwindows': 7, 'subwindow_freq': 14, 'use_window_slope': False, 'use_subwindow_slope': True} 0.41425976913032736
2025-11-14 04:55:07.155407 39 {'augment_factor': 1, 'chunk_seconds': 4, 'num_freqs': 11, 'num_estimators': 16, 'max_depth': 32, 'window_seconds': 5, 'num_subwindows': 4, 'subwindow_freq': 11, 'use_window_slope': False, 'use_subwindow_slope': True} 0.4004185542034968
2025-11-14 04:57:11.962620 40 {'augment_factor': 2, 'chunk_seconds': 6, 'num_freqs': 5, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 6, 'num_subwindows': 9, 'subwindow_freq': 9, 'use_window_slope': False, 'use_subwindow_slope': True} 0.42378332583358497
2025-11-14 05:00:13.548856 41 {'augment_factor': 1, 'chunk_seconds': 2, 'num_freqs': 9, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 9, 'num_subwindows': 12, 'subwindow_freq': 3, 'use_window_slope': False, 'use_subwindow_slope': True} 0.4496619251253555
2025-11-14 05:10:53.025596 42 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 12, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 10, 'num_subwindows': 9, 'subwindow_freq': 2, 'use_window_slope': False, 'use_subwindow_slope': True} 0.45374368800860615
2025-11-14 05:27:41.528374 43 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 12, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 10, 'num_subwindows': 7, 'subwindow_freq': 2, 'use_window_slope': False, 'use_subwindow_slope': True} 0.4690977812409038
2025-11-14 05:41:38.494457 44 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 6, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 10, 'num_subwindows': 7, 'subwindow_freq': 6, 'use_window_slope': False, 'use_subwindow_slope': True} 0.4723346164515134
2025-11-14 05:55:52.101456 45 {'augment_factor': 8, 'chunk_seconds': 9, 'num_freqs': 6, 'num_estimators': 256, 'max_depth': 256, 'window_seconds': 3, 'num_subwindows': 7, 'subwindow_freq': 6, 'use_window_slope': False, 'use_subwindow_slope': True} 0.3584271821962178
2025-11-14 05:57:37.770517 46 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 16, 'window_seconds': 8, 'num_subwindows': 4, 'subwindow_freq': 8, 'use_window_slope': False, 'use_subwindow_slope': True} 0.49041542819092054
2025-11-14 06:06:05.869019 47 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 4, 'window_seconds': 8, 'num_subwindows': 4, 'subwindow_freq': 10, 'use_window_slope': True, 'use_subwindow_slope': False} 0.3953166279113469
2025-11-14 06:11:13.823041 48 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 7, 'num_subwindows': 4, 'subwindow_freq': 8, 'use_window_slope': False, 'use_subwindow_slope': True} 0.47180878684461774
2025-11-14 06:19:48.652888 49 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 7, 'num_subwindows': 3, 'subwindow_freq': 8, 'use_window_slope': True, 'use_subwindow_slope': True} 0.47391099773670414
2025-11-14 06:27:55.930651 50 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 7, 'num_subwindows': 1, 'subwindow_freq': 8, 'use_window_slope': True, 'use_subwindow_slope': False} 0.42481886960717263
2025-11-14 06:31:50.177007 51 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 4, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 7, 'num_subwindows': 3, 'subwindow_freq': 8, 'use_window_slope': True, 'use_subwindow_slope': True} 0.471067753457578
2025-11-14 06:39:56.740835 52 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 4, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 7, 'num_subwindows': 3, 'subwindow_freq': 8, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4729097318909827
2025-11-14 06:48:03.726632 53 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 1, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 3, 'subwindow_freq': 8, 'use_window_slope': True, 'use_subwindow_slope': True} 0.47648766307969476
2025-11-14 06:56:16.224832 54 {'augment_factor': 1, 'chunk_seconds': 2, 'num_freqs': 1, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 2, 'subwindow_freq': 6, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4608370756865026
2025-11-14 06:59:38.494658 55 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 2, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 4, 'subwindow_freq': 8, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4815473513169006
