2025-11-15 03:07:55.389513 35 {'augment_factor': 4, 'chunk_seconds': 0.584115816046757, 'num_freqs': 17, 'num_estimators': 312, 'learning_rate': 0.027359647777792095, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 9, 'subsample': 0.6862873472266918, 'window_seconds': 4} 0.42326952914671434
2025-11-15 03:39:14.378404 36 {'augment_factor': 8, 'chunk_seconds': 0.7367572721182502, 'num_freqs': 16, 'num_estimators': 333, 'learning_rate': 0.07644936303767697, 'max_depth': 7, 'min_samples_split': 10, 'min_samples_leaf': 8, 'subsample': 0.7449447376836884, 'window_seconds': 5} 0.4126391426169209
2025-11-15 04:11:31.938836 37 {'augment_factor': 8, 'chunk_seconds': 0.966568376853624, 'num_freqs': 14, 'num_estimators': 461, 'learning_rate': 0.036181982170507186, 'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 6, 'subsample': 0.7123181591607995, 'window_seconds': 4} 0.42140178724967875
2025-11-15 04:36:54.245075 38 {'augment_factor': 1, 'chunk_seconds': 0.7936802525017574, 'num_freqs': 20, 'num_estimators': 275, 'learning_rate': 0.023628814554133706, 'max_depth': 7, 'min_samples_split': 18, 'min_samples_leaf': 8, 'subsample': 0.7100513926247417, 'window_seconds': 5} 0.4209366573109457
2025-11-15 05:03:44.510456 39 {'augment_factor': 2, 'chunk_seconds': 0.3345840839678269, 'num_freqs': 8, 'num_estimators': 349, 'learning_rate': 0.05847885598172233, 'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 5, 'subsample': 0.6076167186574266, 'window_seconds': 5} 0.419204632953411
2025-11-15 05:46:57.525111 40 {'augment_factor': 4, 'chunk_seconds': 0.6753437945408807, 'num_freqs': 1, 'num_estimators': 491, 'learning_rate': 0.1000716298151415, 'max_depth': 3, 'min_samples_split': 11, 'min_samples_leaf': 4, 'subsample': 0.8270708722115345, 'window_seconds': 4} 0.3677017406269938
2025-11-15 06:02:45.920010 41 {'augment_factor': 4, 'chunk_seconds': 0.5407640044280347, 'num_freqs': 17, 'num_estimators': 313, 'learning_rate': 0.028055429294664706, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 9, 'subsample': 0.6884691122743474, 'window_seconds': 4} 0.42159959938952296
2025-11-15 06:36:41.829306 42 {'augment_factor': 4, 'chunk_seconds': 0.8730997499639005, 'num_freqs': 16, 'num_estimators': 279, 'learning_rate': 0.02698383476834998, 'max_depth': 6, 'min_samples_split': 5, 'min_samples_leaf': 10, 'subsample': 0.6617362042297379, 'window_seconds': 3} 0.42017019450679954
2025-11-15 06:54:10.773764 43 {'augment_factor': 4, 'chunk_seconds': 0.6194309712725624, 'num_freqs': 18, 'num_estimators': 431, 'learning_rate': 0.01963300662204187, 'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 9, 'subsample': 0.7285245081652564, 'window_seconds': 4} 0.4198696297477233
2025-11-15 07:44:50.760405 44 {'augment_factor': 4, 'chunk_seconds': 1.2713426891034474, 'num_freqs': 17, 'num_estimators': 388, 'learning_rate': 0.0327225542566884, 'max_depth': 8, 'min_samples_split': 6, 'min_samples_leaf': 8, 'subsample': 0.6818503109373775, 'window_seconds': 5} 0.412319805474132
