2025-10-31 06:58:40.732624 40 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 50, 'learning_rate': 0.10890116194984087, 'max_depth': 5, 'min_samples_split': 13, 'min_samples_leaf': 6, 'subsample': 0.7806802841872308, 'window_seconds': 4} 0.41023936907974495
2025-10-31 07:02:35.387834 41 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 100, 'learning_rate': 0.040831711929520384, 'max_depth': 7, 'min_samples_split': 15, 'min_samples_leaf': 7, 'subsample': 0.8806554741031731, 'window_seconds': 4} 0.4179188851519731
2025-10-31 07:10:40.746706 42 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 100, 'learning_rate': 0.03734442767037737, 'max_depth': 7, 'min_samples_split': 15, 'min_samples_leaf': 7, 'subsample': 0.8654762016413036, 'window_seconds': 4} 0.4177822372824089
2025-10-31 07:18:39.008736 43 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 100, 'learning_rate': 0.05479928876961759, 'max_depth': 7, 'min_samples_split': 16, 'min_samples_leaf': 9, 'subsample': 0.8340095600606277, 'window_seconds': 4} 0.4111715242028487
2025-10-31 07:26:26.536196 44 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 100, 'learning_rate': 0.04287853697049986, 'max_depth': 6, 'min_samples_split': 17, 'min_samples_leaf': 6, 'subsample': 0.9007130938698207, 'window_seconds': 4} 0.41865443667127655
2025-10-31 07:33:35.143379 45 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 7, 'num_estimators': 200, 'learning_rate': 0.07691345916853551, 'max_depth': 6, 'min_samples_split': 20, 'min_samples_leaf': 5, 'subsample': 0.898272635446869, 'window_seconds': 5} 0.4096961672441839
2025-10-31 07:45:10.637349 46 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 8, 'num_estimators': 100, 'learning_rate': 0.03312077454116408, 'max_depth': 6, 'min_samples_split': 17, 'min_samples_leaf': 6, 'subsample': 0.9928919719770055, 'window_seconds': 3} 0.4056847883931139
2025-10-31 07:52:32.324935 47 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 50, 'learning_rate': 0.06869770103505075, 'max_depth': 5, 'min_samples_split': 19, 'min_samples_leaf': 4, 'subsample': 0.9300972835233627, 'window_seconds': 4} 0.42144913613273477
2025-10-31 07:56:48.017105 48 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 5, 'num_estimators': 50, 'learning_rate': 0.08951851681454556, 'max_depth': 5, 'min_samples_split': 19, 'min_samples_leaf': 3, 'subsample': 0.9312996756633506, 'window_seconds': 4} 0.4138194325422153
2025-10-31 08:00:43.682733 49 {'augment_factor': 1, 'chunk_seconds': 2, 'num_freqs': 8, 'num_estimators': 50, 'learning_rate': 0.06640339433493936, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 4, 'subsample': 0.8478419341255162, 'window_seconds': 3} 0.3979694683889075
